listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
16736,21690,NA,NA,2022,HONDA,CRF 1100L DCT Africa Twin Adventure,1,Automatik,Benzin,Schwarz,2022-04-05,42511010,yes,Hinterradantrieb
16737,22290,NA,NA,2022,HONDA,CRF 1100L DCT Africa Twin Adventure,1,Automatik,Benzin,Mehrfarbig,2022-04-05,42511009,yes,Hinterradantrieb
16738,21050,NA,NA,2022,HONDA,CRF 1100L AfriCa Twin Adventure,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-04-05,42511007,yes,Hinterradantrieb
16739,20450,NA,NA,2022,HONDA,CRF 1100L AfriCa Twin Adventure,1,Schaltgetriebe,Benzin,Schwarz,2022-04-05,42511006,yes,Hinterradantrieb
16740,16890,NA,NA,2022,HONDA,CRF 1100L Africa Twin,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-04-05,42511005,yes,Hinterradantrieb
16741,16290,NA,NA,2022,HONDA,CRF 1100L Africa Twin,1,Schaltgetriebe,Benzin,Schwarz,2022-04-05,42511004,yes,Hinterradantrieb
16742,3950,NA,NA,2008,SUZUKI,GSF 1250 SA Bandit ABS,43282,Schaltgetriebe,Benzin,Blau,2022-06-29,42511003,yes,Hinterradantrieb
16743,16590,NA,NA,2022,HONDA,CRF 1100L Africa Twin,1,Schaltgetriebe,Benzin,Rot,2022-04-05,42511002,yes,Hinterradantrieb
16744,18090,NA,NA,2022,HONDA,CRF 1100L DCT Africa Twin,1,Automatik,Benzin,Mehrfarbig,2022-04-05,42511000,yes,Hinterradantrieb
16745,17790,NA,NA,2022,HONDA,CRF 1100L DCT Africa Twin,1,Automatik,Benzin,Rot,2022-04-05,42510999,yes,Hinterradantrieb
16746,17490,NA,NA,2022,HONDA,CRF 1100L DCT Africa Twin,1,Automatik,Benzin,Schwarz,2022-04-05,42510997,yes,Hinterradantrieb
16747,29995,NA,NA,2006,HPU,HURRICANE SS 124,4000,Schaltgetriebe,Benzin,Blau,2022-07-10,42510994,no,Hinterradantrieb
16748,2550,NA,NA,1999,BMW,R 1100 R ABS,135762,Schaltgetriebe,Benzin,Schwarz,2022-03-08,42510992,yes,Hinterradantrieb
16749,6990,NA,NA,2016,YAMAHA,MT-07 ABS,9000,NA,Benzin,Grau,2022-09-04,42510988,yes,NA
16750,9790,NA,NA,2007,YAMAHA,YZF-R6,31650,NA,Benzin,Schwarz,2022-03-26,42510987,yes,NA
16751,5950,NA,NA,2003,MOTO GUZZI,California EV Touring,52962,Schaltgetriebe,Benzin,Schwarz,2022-03-08,42510982,yes,Hinterradantrieb
16752,14440,NA,NA,2022,TRIUMPH,Speed Twin 1200,1,Schaltgetriebe,Benzin,Anthrazit,2022-03-08,42510980,yes,Hinterradantrieb
16753,19900,NA,NA,2016,HARLEY-DAVIDSON,FLHRC Road King Classic 103 ABS,31300,Schaltgetriebe,Benzin,Weiss,2022-03-08,42510976,yes,Hinterradantrieb
16754,14200,NA,NA,2022,TRIUMPH,Speed Twin 1200,1,Schaltgetriebe,Benzin,Schwarz,2022-03-08,42510974,yes,Hinterradantrieb
16755,12790,NA,NA,2022,TRIUMPH,Street Scrambler 900,1,Schaltgetriebe,Benzin,Grau,2022-03-08,42510973,yes,Hinterradantrieb
16756,13270,NA,NA,2022,TRIUMPH,Street Scrambler 900,1,Schaltgetriebe,Benzin,Blau,2022-03-08,42510969,yes,Hinterradantrieb
16757,16600,NA,NA,2022,TRIUMPH,Bonneville 1200  Bobber,1,Schaltgetriebe,Benzin,Rot,2022-04-28,42510940,yes,Hinterradantrieb
16758,26000,NA,NA,2022,TRIUMPH,Rocket 3 R,1,Schaltgetriebe,Benzin,Grau,2022-03-08,42510939,yes,Hinterradantrieb
16759,3990,NA,NA,2005,DUCATI,Monster 1000 i.e.,41000,Schaltgetriebe,Benzin,Schwarz,2022-09-01,42510938,no,Hinterradantrieb
16760,9290,NA,NA,2022,KAWASAKI,Versys 650,1,Schaltgetriebe,Benzin,Grau,2022-05-29,42510921,yes,Hinterradantrieb
16761,9150,NA,NA,2022,KAWASAKI,Ninja 650,1,Schaltgetriebe,Benzin,Grün,2022-07-01,42510918,yes,Hinterradantrieb
16762,16900,NA,NA,2013,DUCATI,Panigale 1199 Tricolore,19200,Schaltgetriebe,Benzin,Rot,2022-08-25,42510907,no,Hinterradantrieb
16763,9790,NA,NA,2022,DUCATI,Scrambler 800 Icon,1,Schaltgetriebe,Benzin,Rot,2022-08-13,42510902,yes,Hinterradantrieb
16764,8990,NA,NA,2022,DUCATI,Scrambler 800 Icon,1,Schaltgetriebe,Benzin,Schwarz,2022-08-13,42510901,yes,Hinterradantrieb
16765,14790,NA,NA,2022,DUCATI,SCRAMBLER 1100 TRIBUTE PRO,1,Schaltgetriebe,Benzin,Gelb,2022-08-13,42510899,yes,Hinterradantrieb
16766,11890,NA,NA,2022,DUCATI,SCRAMBLER URBAN MOTARD URBAN MOTARD,1,Schaltgetriebe,Benzin,Rot,2022-08-13,42510897,yes,Hinterradantrieb
16767,11590,NA,NA,2022,DUCATI,Scrambler 800 Nightshift,1,Schaltgetriebe,Benzin,Schwarz,2022-08-13,42510893,yes,Hinterradantrieb
16768,4490,NA,NA,2022,NA,ZT 125 U1 ABS,1,Schaltgetriebe,Benzin,Gelb,2022-03-10,42510889,yes,Hinterradantrieb
16769,4490,NA,NA,2022,NA,ZT 125 U1 ABS,1,Schaltgetriebe,Benzin,Orange,2022-03-10,42510888,yes,Hinterradantrieb
16770,4190,NA,NA,2022,NA,ZT 125 U ABS,1,Schaltgetriebe,Benzin,Rot,2022-03-10,42510887,yes,Hinterradantrieb
16771,4190,NA,NA,2022,NA,ZT 125 U ABS,1,Schaltgetriebe,Benzin,Blau,2022-03-10,42510885,yes,Hinterradantrieb
16772,4390,NA,NA,2022,NA,ZT 125 G1 ABS,1,Schaltgetriebe,Benzin,Gelb,2022-03-10,42510884,yes,Hinterradantrieb
16773,4390,NA,NA,2022,NA,ZT 125 G1 ABS,1,Schaltgetriebe,Benzin,Schwarz,2022-03-10,42510883,yes,Hinterradantrieb
16774,8750,Neu ,600,2021,KAWASAKI,Z650 Performance,500,NA,Benzin,NA,2022-08-16,42503572,yes,NA
16775,1600,Geringe Gebrauchsspuren ,50,NA,PONY,521,24000,Automatik,2-Takt-Gemisch,Schwarz,2022-08-18,42502816,no,Hinterradantrieb
16776,5200,Starke Gebrauchsspuren ,1000,2007,KTM,990 Adventure S Dakar,69000,Schaltgetriebe,Benzin,NA,2022-08-23,42502746,yes,Kette
16778,11000,Geringe Gebrauchsspuren ,500,2017,HONDA,CRF450R,45,Schaltgetriebe,Benzin,Rot,2022-08-25,42501463,no,Hinterradantrieb
16779,5500,Geringe Gebrauchsspuren ,750,2011,SUZUKI,GSR,23500,NA,NA,Schwarz,2022-08-20,42499473,yes,NA
16780,32930,NA,NA,2022,BMW,R 18 Transcontinental Service inkl. 3 Jahre,10,Schaltgetriebe,Benzin,Grün,2022-03-07,42496343,yes,Hinterradantrieb
16781,31840,NA,NA,2022,BMW,R 18 B Service inkl. 3 Jahre,10,Schaltgetriebe,Benzin,Grün,2022-03-07,42496342,yes,Hinterradantrieb
16782,3500,Geringe Gebrauchsspuren ,1200,2006,BUELL,XB12X,41000,NA,NA,NA,2022-08-30,42493775,no,NA
16783,3850,Geringe Gebrauchsspuren ,750,2006,KAWASAKI,Z 750,19000,Schaltgetriebe,Benzin,Orange,2022-08-13,42492391,no,Kette
16784,7000,Geringe Gebrauchsspuren ,750,2015,SUZUKI,GSR 750,13600,NA,Benzin,Weiss,2022-08-28,42491576,yes,NA
16788,1500,Neuwertig ,125,2021,NA,NA,10,Automatik,Benzin,Rot,2022-08-21,42487159,no,NA
16789,8950,Geringe Gebrauchsspuren ,1500,2012,KAWASAKI,ZZR 1400,37200,Schaltgetriebe,Benzin,NA,2022-08-25,42486861,no,NA
16790,7100,Neu ,350,2020,SHERCO,Factory,5,Schaltgetriebe,Benzin,NA,2022-08-19,42484933,no,NA
16795,5590,NA,NA,2022,HONDA,CB 125 R,1,Schaltgetriebe,Benzin,Blau,2022-04-04,42483964,yes,Hinterradantrieb
16796,9750,NA,NA,2015,KAWASAKI,Z 1000 ABS mit Zubehör,33799,Schaltgetriebe,Benzin,Schwarz,2022-05-24,42483955,yes,Hinterradantrieb
16797,13600,NA,NA,2018,KAWASAKI,Z 1000 ABS,4200,Schaltgetriebe,Benzin,Orange,2022-07-13,42483947,no,Hinterradantrieb
16798,10995,NA,NA,2022,SUZUKI,GSX-S 950 ABS MY22 70kW,1,Schaltgetriebe,Benzin,Weiss,2022-05-14,42483942,yes,Hinterradantrieb
16799,10995,NA,NA,2022,SUZUKI,GSX-S 950 ABS MY22 35kW,1,Schaltgetriebe,Benzin,Weiss,2022-05-14,42483941,yes,Hinterradantrieb
16800,12995,NA,NA,2022,APRILIA,Tuareg 660,15,Schaltgetriebe,Benzin,Schwarz,2022-03-06,42483899,yes,Hinterradantrieb
16801,12995,NA,NA,2022,APRILIA,Tuareg 660,15,Schaltgetriebe,Benzin,Gold,2022-03-06,42483898,yes,Hinterradantrieb
16802,13795,NA,NA,2022,APRILIA,Tuareg 660 Evocative,15,Schaltgetriebe,Benzin,Mehrfarbig,2022-03-06,42483897,yes,Hinterradantrieb
16803,13795,NA,NA,2022,APRILIA,Tuareg 660 (35kW) Evocative,15,Schaltgetriebe,Benzin,Mehrfarbig,2022-07-10,42483895,yes,Hinterradantrieb
16804,12995,NA,NA,2022,APRILIA,Tuareg 660 (35kW),15,Schaltgetriebe,Benzin,Gold,2022-03-06,42483893,yes,Hinterradantrieb
16805,12995,NA,NA,2022,APRILIA,Tuareg 660,15,Schaltgetriebe,Benzin,Schwarz,2022-03-06,42483892,yes,Hinterradantrieb
16806,4490,NA,NA,2022,MONDIAL,SMX 125 ABS,1,Schaltgetriebe,Benzin,Rot,2022-03-10,42483884,yes,Hinterradantrieb
16807,4490,NA,NA,2022,MONDIAL,SMX 125 ABS,1,Schaltgetriebe,Benzin,Rot,2022-03-10,42483882,yes,Hinterradantrieb
16808,3550,NA,NA,2022,NA,SPIRIT bis zu 2500 km Gratis fahren,5,Schaltgetriebe,NA,Anthrazit,2022-08-20,42483881,yes,Hinterradantrieb
16809,4790,NA,NA,2022,MONDIAL,Flat Track 125 ABS,1,Schaltgetriebe,Benzin,Rot,2022-03-10,42483878,yes,Hinterradantrieb
16810,3250,NA,NA,2022,Mash,geringer Benzinverbrauch,5,Schaltgetriebe,Benzin,Anthrazit,2022-05-04,42483877,yes,Hinterradantrieb
16811,4290,NA,NA,2022,Brixton,Cromwell 125,1,Schaltgetriebe,Benzin,Braun,2022-08-07,42483867,yes,Hinterradantrieb
16812,4390,NA,NA,2022,Brixton,Felsberg 125,1,Schaltgetriebe,Benzin,Grau,2022-08-07,42483866,yes,Hinterradantrieb
16813,4390,NA,NA,2022,Brixton,Felsberg 125,1,Schaltgetriebe,Benzin,Schwarz,2022-08-07,42483865,yes,Hinterradantrieb
16814,19400,NA,NA,2015,HARLEY-DAVIDSON,FXSB Breakout 103 ABS,7300,Schaltgetriebe,Benzin,Schwarz,2022-03-06,42483850,yes,Hinterradantrieb
16815,7750,NA,NA,2012,TRIUMPH,Tiger 1050 ABS SE,22440,Schaltgetriebe,Benzin,Orange,2022-07-01,42483847,yes,Hinterradantrieb
16816,6860,NA,NA,2022,SUZUKI,SV 650 (35kW),123,Schaltgetriebe,Benzin,Schwarz,2022-08-07,42483841,yes,Hinterradantrieb
16817,7295,NA,NA,2022,SUZUKI,SV 650 (35kW),1,Schaltgetriebe,Benzin,Schwarz,2022-08-07,42483840,yes,Hinterradantrieb
16818,7295,NA,NA,2022,SUZUKI,SV 650,1,Schaltgetriebe,Benzin,Schwarz,2022-08-07,42483839,yes,Hinterradantrieb
16819,17900,NA,NA,2008,HARLEY-DAVIDSON,FLHTCUSE3 Electra Glide Ultra Classic CVO ABS,2400,Schaltgetriebe,Benzin,Weiss,2022-08-26,42483838,yes,Hinterradantrieb
16820,14950,NA,NA,2018,BMW,R 1200 GS ABS,31600,Schaltgetriebe,Benzin,Schwarz,2022-03-06,42483826,yes,Hinterradantrieb
16821,14000,NA,NA,2014,BMW,S 1000 RR ABS,38100,Schaltgetriebe,Benzin,Schwarz,2022-03-19,42483824,yes,Hinterradantrieb
16822,19900,NA,NA,2022,BMW,R 1250 GS,5000,Schaltgetriebe,Benzin,Weiss,2022-09-02,42483819,yes,Hinterradantrieb
16823,14490,NA,NA,2017,BMW,R nineT ABS,6474,Schaltgetriebe,Benzin,Mehrfarbig,2022-09-05,42483797,no,Hinterradantrieb
16824,6890,NA,NA,2020,Royal Enfield,Himalayan 400 EFI,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-03-06,42483784,yes,Hinterradantrieb
16826,24000,Neuwertig ,1500,2013,HARLEY-DAVIDSON,flstn,27000,NA,NA,Schwarz,2022-08-15,42473806,no,NA
16827,4500,Geringe Gebrauchsspuren ,1100,NA,MOTO GUZZI,California Jackal,13428,NA,NA,Anthrazit,2022-09-01,42462777,yes,NA
16829,4500,Neuwertig ,600,2016,SWM,Sm 650,5300,Schaltgetriebe,Benzin,Anthrazit,2022-08-23,42472499,no,NA
16830,2500,NA,NA,1996,HONDA,ST 1100 A Pan-European,144000,Schaltgetriebe,Benzin,Rot,2022-06-23,42471735,no,Hinterradantrieb
16831,8888,NA,NA,2016,YAMAHA,XV 950 Racer ABS,654,Schaltgetriebe,Benzin,Blau,2022-03-05,42471708,yes,Hinterradantrieb
16832,6190,NA,NA,2022,YAMAHA,R 125,1,Schaltgetriebe,Benzin,Blau,2022-06-05,42471702,yes,Hinterradantrieb
16833,5190,NA,NA,2022,YAMAHA,XSR 125 ABS,1,NA,Benzin,Rot,2022-06-05,42471697,yes,NA
16834,11900,NA,NA,2015,PIAGGIO,APE Calessino,20000,Schaltgetriebe,Benzin,Weiss,2022-03-08,42471689,yes,Hinterradantrieb
16835,2800,NA,NA,1999,HONDA,XL 1000 V Varadero,23770,Schaltgetriebe,Benzin,Mehrfarbig,2022-07-02,42471682,no,Hinterradantrieb
16836,21490,NA,NA,2022,YAMAHA,YZF-R1 ABS,10,Schaltgetriebe,Benzin,Schwarz,2022-03-05,42471676,yes,Hinterradantrieb
16837,18800,NA,NA,2022,HARLEY-DAVIDSON,RH 1250 Sportster S,15,Schaltgetriebe,Benzin,Weiss,2022-03-05,42471675,yes,Hinterradantrieb
16838,4280,NA,NA,2003,KAWASAKI,Ninja ZX-12R B1,30180,Schaltgetriebe,Benzin,Silber,2022-03-05,42471670,yes,Hinterradantrieb
16839,7480,NA,NA,2005,KAWASAKI,Ninja ZX-6R (25kW),43080,Schaltgetriebe,Benzin,Grün,2022-03-05,42471662,yes,Hinterradantrieb
16840,5780,NA,NA,2004,BMW,F 650 GS,24300,Schaltgetriebe,Benzin,Silber,2022-05-28,42471660,yes,Hinterradantrieb
16841,24850,NA,NA,2021,HARLEY-DAVIDSON,FXBRS Breakout 114,10,Schaltgetriebe,Benzin,Grau,2022-03-05,42471652,yes,Hinterradantrieb
16842,36620,NA,NA,2022,HARLEY-DAVIDSON,FLHTK Electra Glide Ultra Limited Black Finish114,10,Schaltgetriebe,Benzin,Grau,2022-03-05,42471650,yes,Hinterradantrieb
16843,24850,NA,NA,2021,HARLEY-DAVIDSON,FXBRS Breakout 114,10,Schaltgetriebe,Benzin,Bordeaux,2022-03-05,42471649,yes,Hinterradantrieb
16844,8490,NA,NA,2022,CF MOTO,C Force 450 One 4x4,1,Automatik,Benzin,Schwarz,2022-05-19,42471643,yes,NA
16845,19900,NA,NA,2022,HARLEY-DAVIDSON,FXBBS Street Bob 114,10,Schaltgetriebe,Benzin,Grau,2022-03-05,42471642,yes,Hinterradantrieb
16846,3500,NA,NA,2022,Brixton,Felsberg 125,1,Schaltgetriebe,Benzin,Braun,2022-08-17,42471632,yes,Hinterradantrieb
16847,18500,NA,NA,2021,NA,SR/S 2021 Premium,7200,NA,Elektrisch (Plug-in),Grau,2022-06-23,42471625,yes,NA
16848,4590,NA,NA,2005,KAWASAKI,Z 750,34412,Schaltgetriebe,Benzin,Schwarz,2022-08-05,42471611,yes,Hinterradantrieb
16849,8900,NA,NA,2008,SUZUKI,GSX-R 750 K8,48192,Schaltgetriebe,Benzin,Grün,2022-08-05,42471604,yes,Hinterradantrieb
16850,15190,NA,NA,2022,SUZUKI,GSX-S 1000,3,Schaltgetriebe,Benzin,Schwarz,2022-03-05,42471589,yes,Hinterradantrieb
16851,3490,NA,NA,2004,SUZUKI,SV 650,46900,NA,Benzin,Gelb,2022-09-04,42471582,yes,NA
16852,21900,NA,NA,2022,BMW,R nine T Racer ABS British Bullet,10,Schaltgetriebe,Benzin,Grün,2022-06-18,42471579,yes,Hinterradantrieb
16853,35580,NA,NA,2022,BMW,R 18 B Leasing-Aktion 1.18%,5,Schaltgetriebe,Benzin,Schwarz,2022-03-05,42471577,yes,Hinterradantrieb
16854,15800,NA,NA,2020,KTM,890 Duke R,1206,Schaltgetriebe,Benzin,Weiss,2022-04-29,42471574,yes,Hinterradantrieb
16855,6807,NA,NA,2021,KTM,125 Duke,10,Schaltgetriebe,Benzin,Silber,2022-04-29,42471573,yes,Hinterradantrieb
16856,24465,NA,NA,2022,KTM,1290 Super Duke R Evo,7,Schaltgetriebe,Benzin,Orange,2022-08-26,42471571,yes,Hinterradantrieb
16857,31150,NA,NA,2022,BMW,S 1000 RR,10,Schaltgetriebe,Benzin,Weiss,2022-03-19,42471564,yes,Hinterradantrieb
16858,8500,NA,NA,2018,KTM,790 Duke,5900,Schaltgetriebe,Benzin,Schwarz,2022-04-29,42471562,no,Hinterradantrieb
16859,8190,NA,NA,2022,YAMAHA,MT 07 ABS,10,Schaltgetriebe,Benzin,NA,2022-06-10,42471561,yes,Hinterradantrieb
16860,9190,NA,NA,2022,YAMAHA,XSR 700 ABS,10,Schaltgetriebe,Benzin,NA,2022-06-10,42471560,yes,Hinterradantrieb
16861,6590,NA,NA,2022,YAMAHA,MT 03 ABS,10,Schaltgetriebe,Benzin,NA,2022-06-10,42471559,yes,Hinterradantrieb
16862,14900,NA,NA,2020,HARLEY-DAVIDSON,XL 1200 NS Iron ABS,5000,Schaltgetriebe,Benzin,Schwarz,2022-04-06,42471548,yes,Hinterradantrieb
16863,14900,NA,NA,2020,HARLEY-DAVIDSON,XL 1200 NS Iron ABS,7000,Schaltgetriebe,Benzin,Schwarz,2022-04-06,42471547,yes,Hinterradantrieb
16864,7900,NA,NA,2018,KAWASAKI,Ninja 650 ABS (35kW),3000,Schaltgetriebe,Benzin,Grau,2022-04-06,42471546,no,Hinterradantrieb
16865,14900,NA,NA,2022,HONDA,CB 1000 R Black Edition,1,Schaltgetriebe,Benzin,Schwarz,2022-07-12,42471535,yes,Hinterradantrieb
16866,6999,NA,NA,2015,KTM,690 Duke ABS,6400,Schaltgetriebe,Benzin,Weiss,2022-04-29,42471532,no,Hinterradantrieb
16867,3999,NA,NA,2001,BMW,R 1150 GS,85000,Schaltgetriebe,Benzin,Schwarz,2022-04-06,42471529,no,Hinterradantrieb
16871,10500,Neuwertig ,600,1954,CONDOR,A580-1,12500,Schaltgetriebe,Benzin,NA,2022-09-05,42460282,no,Antriebswelle / Kardanwelle
16872,29500,Neuwertig ,1200,2010,HARLEY-DAVIDSON,V-Rod Muscle,7000,Schaltgetriebe,Benzin,Schwarz,2022-09-02,39169808,no,Riemen / Zahnriemen
16873,8590,NA,NA,2018,YAMAHA,MT-09 ABS,23300,NA,Benzin,Grau,2022-09-04,42458086,yes,NA
16874,4990,NA,NA,2012,SUZUKI,SFV 650 A Gladius,3400,NA,Benzin,Weiss,2022-09-04,42458085,yes,NA
16875,15890,NA,NA,2020,YAMAHA,YZF-R6 ABS,3100,NA,Benzin,Blau,2022-03-26,42458082,yes,NA
16876,6690,NA,NA,2011,YAMAHA,FZ8 N ABS,17200,NA,Benzin,Weiss,2022-09-04,42458080,yes,NA
16877,5500,NA,NA,2011,SUZUKI,GSR 600 A,28600,NA,Benzin,Blau,2022-06-12,42458067,no,NA
16878,7900,NA,NA,2007,TRIUMPH,Thruxton 900,30000,NA,Benzin,Schwarz,2022-03-04,42458058,no,NA
16879,3895,NA,NA,2022,SYM,NH-X 125,1,Schaltgetriebe,Benzin,Rot,2022-03-04,42458054,yes,Hinterradantrieb
16880,5270,NA,NA,2014,HONDA,CB 650 F ABS,5144,Schaltgetriebe,Benzin,Gelb,2022-08-05,42458048,yes,Hinterradantrieb
16881,22490,NA,NA,2022,YAMAHA,YZF-R1 ABS,1,Schaltgetriebe,Benzin,Weiss,2022-06-01,42458044,yes,Hinterradantrieb
16882,9790,NA,NA,2022,YAMAHA,Tracer 7,6,Schaltgetriebe,Benzin,Rot,2022-06-02,42458031,yes,Hinterradantrieb
16883,7290,NA,NA,2009,YAMAHA,XJR 1300,12200,Schaltgetriebe,Benzin,Grau,2022-03-04,42458017,yes,Hinterradantrieb
16884,3333,NA,NA,2021,Mash,SEVENTY,7,Schaltgetriebe,Benzin,Schwarz,2022-03-04,42458013,yes,Hinterradantrieb
16885,10680,NA,NA,1970,BSA,441 Victor Special,224,Schaltgetriebe,Benzin,Gelb,2022-07-13,42458010,no,Hinterradantrieb
16886,6800,NA,NA,2007,BMW,K 1200 R Sport,15004,Schaltgetriebe,Benzin,Grau,2022-09-02,42458003,yes,Hinterradantrieb
16887,3250,NA,NA,2005,YAMAHA,FZ6 N,14920,Schaltgetriebe,Benzin,Schwarz,2022-08-27,42457996,no,Hinterradantrieb
16888,18480,NA,NA,2022,YAMAHA,Tenere 700 ABS,1,Schaltgetriebe,Benzin,Blau,2022-07-13,42457979,yes,Hinterradantrieb
16889,11780,NA,NA,2022,YAMAHA,Tenere 700,1,Schaltgetriebe,Benzin,Schwarz,2022-07-13,42457977,yes,Hinterradantrieb
16890,13999,NA,NA,2022,APRILIA,Tuareg 660,1,Schaltgetriebe,Benzin,Schwarz,2022-03-04,42457976,yes,Hinterradantrieb
