listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
16993,18210,Neu ,125,2022,ZERO MOTORCYCLES,S,7,Automatik,Elektrisch (Plug-in),Grau,2022-09-05,42414942,yes,Riemen / Zahnriemen
16994,145,Geringe Gebrauchsspuren ,500,2020,ZERO MOTORCYCLES,FXS,700,Automatik,Elektrisch (Plug-in),Anthrazit,2022-09-05,38379586,yes,Riemen / Zahnriemen
16995,19530,Neu ,750,2022,NA,DSR / DS,7,Automatik,Elektrisch (Plug-in),Braun,2022-09-05,42414470,yes,Riemen / Zahnriemen
16996,5800,Neuwertig ,1500,1995,HONDA,GL 1500,75500,Schaltgetriebe,Benzin,Bordeaux,2022-08-22,42414416,yes,Antriebswelle / Kardanwelle
16997,4200,Geringe Gebrauchsspuren ,600,2009,YAMAHA,XJ 6N,14000,Schaltgetriebe,Benzin,Schwarz,2022-08-15,42413880,no,Hinterradantrieb
16998,20050,Neu ,750,2022,ZERO MOTORCYCLES,SR,5,Automatik,Elektrisch (Plug-in),Anthrazit,2022-09-05,42414182,yes,Riemen / Zahnriemen
17000,9990,Neu ,750,2022,CF MOTO,CL-X 700 Sport,5,Schaltgetriebe,Benzin,Weiss,2022-09-05,42378575,yes,NA
17001,6600,Geringe Gebrauchsspuren ,900,2015,YAMAHA,MT-09,21700,NA,NA,NA,2022-09-02,42413535,no,NA
17002,3645,NA,NA,2022,NA,Hero 125,1,Schaltgetriebe,Benzin,Schwarz,2022-03-01,42413218,yes,Hinterradantrieb
17003,14900,NA,NA,2008,HARLEY-DAVIDSON,FXCWC Rocker C,12900,Schaltgetriebe,Benzin,Schwarz,2022-05-03,42413215,yes,Hinterradantrieb
17004,12700,NA,NA,2008,HARLEY-DAVIDSON,FXCWC Rocker C,39900,Schaltgetriebe,Benzin,Schwarz,2022-05-03,42413211,yes,Hinterradantrieb
17005,6900,NA,NA,2016,KTM,690 Duke ABS,16900,Schaltgetriebe,Benzin,Weiss,2022-08-11,42413203,yes,Hinterradantrieb
